ProductName;Name;Country;SalesOrderNumber;OrderQuantity;UnitPrice;ProductStandardCost;TotalProductCost;SalesAmount;TaxAmt;Freight;OrderDate
Road-150 Red, 52;Abby Sandberg;France;SO45078;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-01 00:00:00.000
Road-150 Red, 48;Kyle Washington;United States;SO45079;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-01 00:00:00.000
Road-650 Black, 58;John Thomas;United States;SO45080;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-07-01 00:00:00.000
Road-650 Black, 44;Seth Lewis;Canada;SO45081;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-07-01 00:00:00.000
Mountain-100 Black, 44;Ross Sanz;Australia;SO45082;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-07-01 00:00:00.000
Road-150 Red, 48;Alejandro Chen;United Kingdom;SO45083;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-02 00:00:00.000
Road-150 Red, 62;Grace Jenkins;United States;SO45084;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-02 00:00:00.000
Road-150 Red, 48;Reginald Alvarez;Australia;SO45085;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-02 00:00:00.000
Road-150 Red, 56;Jacquelyn Diaz;Australia;SO45086;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-02 00:00:00.000
Mountain-100 Black, 44;Joseph Martin;United Kingdom;SO45087;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-07-03 00:00:00.000
Mountain-100 Silver, 42;Colin Nath;United Kingdom;SO45088;1;3399,99;1912,1544;1912,1544;3399,99;271,9992;84,9998;2018-07-03 00:00:00.000
Mountain-100 Black, 48;Jenna Lopez;United States;SO45089;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-07-03 00:00:00.000
Road-150 Red, 62;Alexandra Adams;United States;SO45090;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-03 00:00:00.000
Road-150 Red, 56;Jodi Chavez;Australia;SO45091;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-03 00:00:00.000
Road-150 Red, 52;Glenn Liu;Australia;SO45092;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-03 00:00:00.000
Road-150 Red, 48;Adrienne Gutierrez;Australia;SO45093;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-03 00:00:00.000
Road-150 Red, 62;Oscar Perry;Canada;SO45094;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-03 00:00:00.000
Mountain-100 Silver, 38;George McDonald;United Kingdom;SO45095;1;3399,99;1912,1544;1912,1544;3399,99;271,9992;84,9998;2018-07-04 00:00:00.000
Road-150 Red, 48;Amanda Perez;France;SO45096;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-04 00:00:00.000
Road-150 Red, 52;Caroline Long;United States;SO45097;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-04 00:00:00.000
Road-150 Red, 62;Dawn Shen;United States;SO45098;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-04 00:00:00.000
Road-150 Red, 48;Richard Parker;United States;SO45099;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-04 00:00:00.000
Road-650 Red, 44;Eric Turner;Germany;SO45100;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-07-05 00:00:00.000
Road-150 Red, 52;Adam Phillips;Canada;SO45101;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-05 00:00:00.000
Road-150 Red, 62;Miguel Green;United States;SO45102;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-05 00:00:00.000
Road-150 Red, 62;Richard Ward;United States;SO45103;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-06 00:00:00.000
Road-150 Red, 62;Ashley Smith;United States;SO45104;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-06 00:00:00.000
Road-150 Red, 48;Luis Collins;Canada;SO45105;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-06 00:00:00.000
Mountain-100 Black, 38;Taylor Moore;Canada;SO45106;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-07-06 00:00:00.000
Road-150 Red, 48;Taylor Thomas;United States;SO45107;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-06 00:00:00.000
Road-150 Red, 62;Courtney Turner;Canada;SO45108;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-06 00:00:00.000
Road-150 Red, 44;Brendan Xu;United Kingdom;SO45109;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-07 00:00:00.000
Road-150 Red, 44;Ricardo Xie;Australia;SO45110;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-07 00:00:00.000
Road-650 Red, 44;Latasha Gill;Australia;SO45111;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-07-07 00:00:00.000
Road-650 Red, 62;Brianna Stewart;United Kingdom;SO45112;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-07-07 00:00:00.000
Road-150 Red, 52;Suzanne Wang;United States;SO45113;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-07-08 00:00:00.000
